origin,translation
Bottega di tornidor,turner's workshop
casa e bottega e inviamento,house and shop and dispatch
secondo appartamento di casa,second apartment of the house
case in più soleri,additional houses and barns
Casa,house
Porcion di Casa,portion of house
Magazani da oglio et da zucchari vuoti,empty oil and sugar warehouses
Inviamento di detta bottegha,sending of said shop
Casa in Soler vuota et in Fabrica contentiosa,empty house in soler and contentious factory
Inviamento da Lasagner,sending from lasagner
Casa e Bottega da Pistor,house and bakery of the baker
case rovinose vuote,ruinous empty houses
"bottega, affianco alle altre","shop, next to the others"
bottega e casa da peruchier,shop and house for a wig maker
Casa n.9,house no.9
due botteghe da legname ed un pezzo di terren,two lumber shops and a piece of land
edificio da zesso,building from scratch
Inviamento di Bottega da aquavita,sending of aquavita shop
bottega da spezier e casa,spice shop and house
"Bottega, Casa e Inviamento da Scaleter","workshop, house and sending from the staircase"
Casa e Bottega da Fruttarol con Inviamento,house and fruiterer's shop with forwarding
una volta,once
Bpttega di calegher con inviamento,shoemaker's shop with delivery
bottega da acque,water workshop
casa e bottega cordarol,house and cordarol shop
"Casa in due soleri, nel terzo","house in two solariums, in the third"
Un casotto fabricato di tavole dopra un fondo ruinoso,a shack made of boards on a ruinous foundation
Casa e Bottega d'Aque,house and shop of aque
bottega da luganegher e casa in soler,sausage shop and house on the upper floor
"bottega da masteller, vuota","masteller's shop, empty"
casa e terreno da filacanevo,house and land from filacanevo
casa cioè la metà,house that is half
magazeni n.4,warehouses no.4
Bottegha da marzer per proprio uso,marzer's shop for personal use
Casa mettà di raggione della commissaria oltrascritta per suo uso,house put on behalf of the above-mentioned commissioner for her use
Casin et orto de Nobeli Homeni,house and garden of noble men
Casa a pepian et in soler in tre affittanze,house with pepian and on the ground floor in three leases
Bottega da Naranzer,orange shop
casa e bottega da zavatin,house and cobbler's shop
Casa in 2 affitanze,house in 2 leases
Libertà numero 24,freedom number 24
Casa e Bottegha da Indorador,house and gilder's shop
"Casa, e Forno","house, and oven"
bastion inviamento,bastion sending
casa in soler e magazen,house in floor and warehouse
"Casa in soler in tre appartamenti, secondo","house in soler in three apartments, according to"
Casa per uso del sudetto come fattor,house for use by the aforementioned as manager
Casa vuota con magazen,empty house with warehouse
Casa e Bothegha Luganegher inaffittata,unleased house and butcher shop
Casa e Bottega da Franzifava,house and shop of franzifava
casa a pepian e bottega da favro,pepian house and blacksmith's shop
Scola della Madonna di San Marcilian per uso,school of the madonna of san marcilian for use
"casa e bottega da oglio con magazenetto, caneva in corte","house and oil shop with small warehouse, cellar in courtyard"
posta di Treviso,treviso mail
Bottega da Fruttarol vacua,empty fruttarol shop
Botegha da luganegher,butcher's shop
Inviamento del detto Forno,sending of the said oven
Casa in soler di sotto vacua,house in the lower floor empty
"casa, secondo soler e magazen","house, according to custom and warehouse"
casa e bottega da galliner con bottega da cordarol,house and henhouse with cordarol shop
Inviamento del detto,sending of the said
casa e bottega fruttarol,house and greengrocer's shop
"Casa, e Bottegha da Oglio","house, and oil shop"
tre casette vuote,three empty small houses
"Camera, e Bottega vuote","room, and empty shop"
Bottega di zavater con casa,shoemaker's shop with house
Casa e bottega baratter,house and shop barter
Casa e bottega e magazen,house and shop and warehouse
bottega da tornido,turnery workshop
Casa e bottega Soazer,soazer house and shop
"Casa in tre affittanze, soler di sopra","house in three leases, upper loft"
casetta in due,little house in two
appartamento di casa in soler,apartment of house in soler
12 libertà di traghetto,12 ferry freedoms
"casa, sopra la scala e le botteghe","house, above the stairs and the shops"
Magazin con casetta,warehouse with small house
Casa n.2,house no.2
Casetta e Bottega da marangon,small house and carpenter's shop
Bottega da [Frittole],[frittole] workshop
"Ospicio di sei stanzie, numero 2","hospice of six rooms, number 2"
casa e bottega da tapezier,house and upholstery shop
un loghetto dentro la bottega,a small loft inside the shop
inviamento frutariol,sending orchard
casa soler inafittata,soler house not leased
Masena da colori con teren,colored masena with land
forno ed inviamento dello stesso,oven and sending of the same
Saonaria e Casa,soap factory and house
casa in soler e bottega da frutariol,house on the ground and greengrocer's shop
Portion di detta bottega,portion of said shop
Casa Vuota appar da Cartello sopra la Porta,empty house appears from sign above the door
Bottega di bombaser con casa,silk shop with house
Botega Inafittata,unleased shop
bottega serve per camarini con volta da caffè,shop used for rooms with coffee vault
"Casa in soler, altro apartamento","house in soler, another apartment"
inviamento di calegher,sending of shoemakers
casa soler e magazen,soler house and warehouse
Casa e Bottega da Tentor,house and tentor's workshop
Inviamento da forno,sending from oven
Pepian,pepian
camera del sal,salt chamber
Botegha d'Aque,water shop
casa con magazeni di fruttarolo,house with greengrocer's warehouses
Bottega Favro,favro workshop
Libertà 12 vuota,freedom 12 empty
Posto di Tabacco,tobacco place
insegna,teaches
"Casa, e Bottega da Tabacco","house, and tobacco shop"
bottega da cordovani e casa in due soleri,cordwainer's shop and house with two floors
soleri vuoti,empty attics
Appartamento terzo,third apartment
Posto di Magazen,warehouse place
"casa in cinque appartamenti, porzione del secondo","house in five apartments, portion of the second"
Bottega di Calegher,cobbler's shop
bottega da spicier e casa in soler,spice shop and house in soler
Inviamento,sending
Bottega da galiner con magazin,chicken shop with store
"Casa, proprietà appartamento di sopra","house, property upstairs apartment"
bottega vuota,empty shop
carati del forno,oven's carats
"Casa, e bottega da marangon","house, and carpenter's shop"
Casa e casetta,house and cottage
Casa e bottega da tesser,house and weaving workshop
bottega casariol,casariol workshop
Volta,time
"Bottega da Frutariol e Casa, compresa altra Casetta vicina","fruit shop and house, including another nearby small house"
loco da segador sotto detta scala,place of the reaper under said stairs
quattro casette vuote,four empty little houses
bottega da bolzer e casa,workshop for making bolts and house
Magazen,warehouse
"Casa in soler, altra portion","house on the ground, other portion"
Casa con inviamento da cordariol,house with forwarding from cordariol
casa per prorpio uso,house for personal use
Bottega da Intalgiador,carver's workshop
metà di casa,half of the house
terren,land
Casa a pepiano con corte,house with courtyard in pepiano
osteria,tavern
casa soler di sora,soler house of upstairs
"casa vuota, secondo soler","empty house, according to custom"
Inviamento da Zavatter,sending from zavatter
Scuola dell'Arte de laneri,school of the art of wool workers
Bottega con inviamento da barbier,shop with barber assignment
"casa in due appartamenti, primo appartamento","house into two apartments, first apartment"
casa e bottega da stramazer,house and carpenter's shop
Altra Porzione delle Sudette Casa e Bottega,other portion of the aforementioned house and shop
Teatro inaffitato,unleased theater
"Inviamento di fruttarol, erbarol e biavarol","sending of fruttarol, erbarol and biavarol"
Casetta 2 appartamenti,small house 2 apartments
"Casa in 3 affittanze, la seconda e la terza vuota","house in 3 leases, the second and third are empty"
serajo imbattiaro vicino la bottega,they will fight near the shop
Numero 11 Volta,number 11 turn
"casa soler, primo appartamento","soler house, first apartment"
Casa e Bottega marangon,house and carpenter's workshop
bottega da quadri,picture shop
Casa e Bottegha spicier medicine,house and spice medicine shop
casa n. 3,house no. 3
Casa e Bottega da Barbier,house and barber shop
bottega da barbier e casa,barber shop and house
bottega da scultor,sculptor's workshop
Casa e Bottega da oglio da mandorle dolzi,house and shop for sweet almond oil
Altra Mettà di detta Bottega,other half of said shop
ospedaletto di sette camere,small hospital of seven rooms
Casa e Bottea da Marzer,house and shop from marzer
bottega da perler,bead shop
Camera in soler nella casa delli suddetti Zocco,room in the attic of the aforementioned zocco house
Altra Porzione del Suddetto Magazeno,other portion of the aforementioned warehouse
Casetta o sia Magasen,small house or warehouse
casa e bottega da fabro,house and blacksmith's shop
Casa in soler serve per casin de nobili homeni,house on ground used for noble men's casinos
Stabile con Partido di Vitello,building with calf partition
bottega da marzer e casetta sopra,shop from marzer and small house above
"Casa, et botega con inviamento da Luganegher","house, and shop with sausage making equipment"
Caseta e bottega di fruttarol,shed and fruit vendor shop
casa vuota,empty house
Officio del dacio del vin,office of the wine lease
Altro luogo serve di magazen alla casa del pignatter da affittar,another place serves as storage for the potter's house to rent
"casa, sopra il magazen","house, above the warehouse"
botega da garzador,warehouse for rent
bottega da copista,copyist's workshop
Casa diverse,various houses
Appartamento di casa primo,first house apartment
Libertà di traghetto,ferry freedom
casa in dua affittanze,house in two leases
bottega da baretter,hat shop
Portion di Casa,portion of house
"casa, quarto soler, con magazen a pepian, vuota","house, fourth floor, with storage on the ground floor, empty"
due camere,two rooms
Casata,household
casa settimo soler,seventh soler house
Casa con orto in 4 affittanze,house with garden in 4 leases
bottega da strazzarol,rag picker's shop
Libertà numero 44 vuota,empty freedom number 44
Due casa e pepian,two houses and pepian
Casetta gratis,free cottage
Bottega Tornidor,turner's workshop
Per altra porzione di Casa,for another portion of house
Due Mezadi sotto la detta Posta di Modena,two half-days under the said position of modena
Casette Due,two houses
Teren,land
Bottega da Galliner,chicken shop
casa secondo appartamento,house second apartment
Terreno ortivo,arable land
Bottega di Orese,orese's workshop
Casa e Bottega da Bavellera,house and workshop from bavellera
Diversi Maghazeni Affittati,various rented warehouses
case n. 9 e 13,houses n. 9 and 13
Casa numero 11,house number 11
"altra porzione di casa, sopra","another portion of the house, above"
Bottega di Marcer,marcer's workshop
bottega  buttador,workshop dump
Stazio da Erbarol,station of herb dealer
cerraria,locksmith
bottega di marangon,carpenter's workshop
Casette due,two houses
Casa di residenza del Reverendissimo Signor Piovan,residential house of the most reverend sir piovan
Casa di ragione e per suo uso,house of reason and for its use
"casa, quarto, quinto e sesto soler","house, fourth, fifth and sixth soler"
bottega ora magazen vuoto,shop now empty warehouse
casa e bottega indorador,house and gilding workshop
Botegha orefice,goldsmith's shop
bottega da fabro,blacksmith's shop
Per tre Volte erate nel Palazzo,for three times you were in the palace
casda,house
casa della residenza del piovano,house of the residence of the parish priest
Due casette per metà de caratti,two small houses for half of the characters
appartamento della suddetta casa,apartment of the aforementioned house
Casa e Bottega Marangon,marangon house and workshop
Due Terreni da Legname e molti Maghazeni Affittati,two timber lands and many rented warehouses
casa e bottega da marzer e altra da spicier da confetture,house and shop from grocer and another from jam spicer
Casa e Bottegha da medicine,house and medicine shop
ortesello,swampy ground
Casa inaffitata,unrented house
casa a pepian con bottega,house with pepian and shop
Mettà di detta casa,half of said house
casetta pepian alla riva,pepian cottage on the shore
Botega Inaffittata,unleased shop
Casa e bottega furtarol,house and furtarol shop
Volte numero 3,times number 3
Affittanza al presente vuota,lease currently vacant
Bottega vuota Inaffitata,unrented empty shop
Convento delli Reverendi Padri di Santo Stefano,convent of the reverend fathers of saint stephen
Appartamento di Casa soler di sopra,upper house apartment of casa soler
"Casa, e Bottega da Acqua Vitta",house and water vitta shop
"Casa, bottega e magazen","house, shop and warehouse"
Bottega da barbier,barber shop
bottega da sartor con magazen,tailor's shop with storage
Un Mezà,a half
Casetta in 3 affittanze,small house in 3 leases
gondola,gondola
bottega calderer,boiler shop
burchio,ditch
"Casa, e bottega con inviamento da calegher","house, and shop with shoe maker's assignment"
casa in due soleri,house on two suns
"Casa e bottega, carati 10","house and shop, 10 carats"
Ospicio di sei camere tutte in un corpo,hospice of six rooms all in one body
Bottega da capeler,hatmaker's shop
Casa con Cavana et altra Casa,house with boathouse and another house
Casa e Bottega di Formagier,house and shop of the cheesemaker
Casetta e Bottega,little house and shop
Casa in soler e bottega di favro,house on the ground and blacksmith's shop
Case tre in soler,three houses in soler
"Casa in soler di più Altra camera, per la camera","house in ground of more another room, for the room"
Botega da Varuter,hardware store
"Altra Porzion delle sudette Case, e Botteghe",another portion of the aforementioned houses and shops
Casa Domincale,dominical house
"Porzione di Casa, Volta e Bottega","portion of house, vault and shop"
Camera d'altra,other room
casa grande con orto,large house with garden
Casa dirocata,ruined house
casa cadente inafittata,unrented falling house
Bottega di masteler,shop of mast-makers
"Casa, bottega luganegher","house, sausage maker's shop"
"casa, primo soler metà","house, first floor half"
Casa primo soler con loghetto,first soler house with small lodge
Casa in soler in due apartamenti,house on land in two apartments
Casa e bottega da tabacco,house and tobacco shop
"Casa, et Bottega","house, and shop"
bottega da butador d'orese,goldsmith's workshop
volta con logo a basso,vault with low logo
casa e bottega sotto la casa del Pievano,house and shop under the house of the parish priest
Casa e Bottega da Sartor,house and tailor's shop
magazen e bastione in faccia la chiesa,warehouse and bastion facing the church
casa secondo soler,house according to soler
L'Anzolo Altra Camera,the other chamber angel
Casa con Bottega di Mercer,house with mercer's shop
casa e bottega botter,house and botter workshop
inviamento da luganegher,sending from luganegher
casa per uso di casin,house for casino use
Bottega da Careghetta,careghetta workshop
Bottega di biavarol,workshop of biavarol
"casa e 3 botteghe, barbier e carter","house and 3 shops, barber and carter"
casa in soler con camera,house on the ground floor with room
Posto da Libraro,place from the bookseller
Botega e Magazen,shop and warehouse
Botteghino,box office
Per Magazeni,For warehouses
casa 2 pepian,house 2 pepian
"Bottega di calderer, et casa in soler","shop of coppersmiths, and house on the upper floor"
"Casa in soler in 2 apartamenti, primo apartamento","house on the ground in 2 apartments, first apartment"
"casa, squero, magazen","house, shipyard, warehouse"
Botegha da spitier da confetti et casa a pepian,candy shop with a house in pepian
Bottega da Strazzarol,strazzarol's workshop
bottega con due mezzadi,shop with two halves
"Casa, e Magazeno","house, and warehouse"
casa e bottega da specier da medicine e compresa bottega da peruchier,"house and shop for a spice and medicine dealer, including a wig shop"
Passalicio che serve la medema Botega da Cafù,passage that serves the same café shop
inviamento d'erbariol,sending of herbals
Portion della suddetta casa con horto e corte,portion of the aforementioned house with garden and courtyard
Bottega d'acque,water shop
"casa in quattro appartamenti, terzo","house in four apartments, third"
bottega da legador da libri,bookbinder's workshop
mezza di detta casa,half of said house
Casa in tre solari,house in three solar
Casa in fabrica,house under construction
data per carità a Cattarina Zanetti,given out of charity to cattarina zanetti
Bottega da Trucco,makeup shop
Casa in canton,house in the corner
Casa e Bottega da Galiner,house and workshop of galiner
Bottega vota da molto tempo,workshop closed for a long time
LIbertà di traghetto,ferry freedom
bottega di biavarol,biavarol's workshop
casa e bottega d'indorador,house and gilder's shop
edificio di biacca,lead white building
Bottega da sartor,tailor's shop
inviamento della bottega di fruttarol,sending of the greengrocer's shop
magazzeni,warehouses
"Stabile con orto, casa per uso","stable with garden, house for use"
bottega da mazzaretto,shop from mazzaretto
Casa vuota in faza Ca' Seriman,empty house in faza Ca' Seriman
libertà di traghetto vuota,empty ferry freedom
"Casa, terzo appartamento con magazen","house, third apartment with storage"
Bottega di Varoter,varoter's workshop
Casa posseduta vitalicialmente,house owned for life
"Botega, e teren da Tagliapiera","workshop, and land from Tagliapiera"
"Casa, e Bottegha da Erbarol","house, and herbalist's shop"
bottega da zavater e casa in soler a pepian,shoemaker's shop and house in soler in pepian
"casa, forno, bottega ed inviamento","house, oven, shop and shipment"
Casa in Soler Grande per suo uso,house in soler grande for his use
Casa per suo onorario come nonzolo,house for his fee as nonzolo
Botteghe due con magazen,two shops with warehouse
Casa a Pepian,house in pepian
casetta con bottega da testaro,small house with a shop for rent
Casa con bottega di carter,house with paper shop
Casa Domenicale per proprio uso con cortivo ed orto,sunday house for personal use with cultivated land and garden
Casa e bottega da specchier,house and mirror shop
casa di quattro camere,four room house
bottega a pepian,shop in pepian
Boteghe da Carter,carters' shops
livello sopra forno,level above oven
Bottega da Carter,cartographer's workshop
Casa per suo uso,house for his use
Libertà numero 7,freedom number 7
bottega galliner,chicken shop
Casa in soler e bottegha da spicier da medicine,house in ground and shop of spice medicine
Casa con bottega di sartor,house with tailor's shop
Casa bottega da Malvasia,malvasia house shop
Porcion di detta casa,portion of said house
insegna sive posto,sign or place
Pepian dietro,behind pepian
Botega serve di Magazen,workshop used as a warehouse
Casa e Bottega da stramazer,house and workshop for rough carpentry
Locanda della Cortesia Consorti,inn of courtesy consorts
bottega con volta d'orefice,shop with goldsmith's vault
Casa con mezzadi,house with half floors
Casa con Bottega da Piati,house with dish shop
Magazin,warehouse
appartamento nella detta casa,apartment in the said house
bottega da caffè e inviamento,coffee shop and shipping
"Appartamento, Mezzado","apartment, half-share"
Casotto da bagatelle,hut for trifles
Bottega da Galliner e due Volte di Sopra la detta Bottega,shop from galliner and two times above the said shop
bottega da peruchier e casa,shop for furrier and house
magazzeni 2,warehouses 2
"Casa, terzo soler n.9","house, third floor n.9"
bottega da stramazzer,workshop for roughcasting
casa e bottega da stazzarol,house and stazzarol's shop
bottega sive magazen,shop or warehouse
Inviamento da Erbariol,sending from herb garden
bottega cioè posto dell'appalto del tabacco,shop i.e. place of the tobacco lease
magazino,warehouse
caseta pepian,pepian hut
Casa cioè porzione,house i.e. portion
Casa in tre affittanze,house in three leases
casa e bottega di casseler,house and workshop of casseler
bottega di masteler,masteler's shop
Libertà 7,freedom 7
Posto di gua,place of guard
Casa e Bottegha da Strazzarol,house and workshop of strazzarol
volte diverse n. 8,several times n. 8
Bottega da Salumier con Magazen in calle della Donzella,salumier's shop with storage in donzella street
Casa e Bottega Stamazer,house and stamazer workshop
casa e zuccararia,house and sugar mill
Inviamento da Luganegher,sending from luganegher
casa e bottega da tentor,house and tentor's workshop
Bottegha fruttariol,fruit shop
Due Maghazeni Inaffittati,two unleased magazenies
bottega da stazarol,stazarol's workshop
"Casa con molte affittanze, numero 8","house with many leases, number 8"
Caseta,hut
Altra porzion della detta Bottega,another portion of the said shop
un loghetto sopra la casina,a small lodge above the little house
"Porzion delle Sudette Casa, e Bottega","portion of the aforementioned house, and shop"
Bottega con casetta,shop with small house
Bottega da colori,color workshop
Bottega Con Volta da Barbier,barber shop with vaulted ceiling
Bottega di Casseler,casseler's workshop
"Apartamenti due, di sotto","two apartments, downstairs"
casa in due solari e pepian,house in two suns and pepian
Inviamento di malvasia,sending of malvasia
"Casa, Bottega e Magazen","house, shop and warehouse"
Case due dirroccate,two dilapidated houses
Palazzo proprio de uso,own palace for use
Primo Appartamento di Casa,first apartment of house
Casa dominicale con corte et orticello per proprio uso,main house with courtyard and small garden for personal use
"Il resto delle suddette porcioni di Casa, Bottega e Magazen","the rest of the aforementioned portions of house, shop and warehouse"
casa in soler con magazen,house with warehouse on the ground floor
Casa soler sopra,soler house above
Fontico da farina,grain warehouse
Posto solo da Frutti,place only for fruits
camera a pepian,room with a sloping roof
"Casa con molte affittanze, numero 1","house with many leases, number 1"
Casa e Bottegha Marzer,house and marzer shop
Collegio per uso de seminaristi della eredità Flangini Ospedal per uso de poveri greci,college for the use of seminarians of the flangini inheritance hospital for the use of poor greeks
Inviamento per proprio uso,sending for personal use
Casetta vacua,empty little house
Case due con bottega da spicier,two houses with a spice shop
Case due e bottega da marangon,two houses and a carpenter's shop
Casa una portione,house a portion
Bottega da Scaleter,scaleter's workshop
Casa e bottega schiopetter,house and gunsmith shop
Posto da erbariol,herbalist's place
magazen serve per casa,storehouse used for home
Camera numero 3,room number 3
Botteghe ridotte in magazin,shops reduced to warehouse
bottega con inviamento,shop with forwarding
Casa in bottega di favro,house in the blacksmith's shop
Bottega da Lugane da crudo,raw lugane workshop
casa e bottega di tornidor,house and lathe workshop
Osteria Pellegrino,pilgrim's tavern
bastion da vino,wine bastion
Libertà numero 16,freedom number 16
"casa, sopra altra scala","house, above another staircase"
Bottega di buratin,puppet workshop
casa pepian e soler,"pepian house and sun
"
Bottega e Terren,shop and land
casa in tre fittanze,house in three leaseholds
Magazen della suddetta casa,warehouse of the aforementioned house
"Casa, et Bottega da erbariol","house, and herb shop"
"Casa, soler di sotto","house, ground floor"
bottega con mezzadi o volte,shop with mezzanines or vaults
Magazen compreso con la Bottega,warehouse included with the shop
Casa sopra il Rio,house above the rio
Terra di tagliapietra,stonecutter's land
posto erbariol,herb garden
Bottega fatta magazen,workshop made warehouse
appartamenti,apartments
bottega de remessi da barche,boat repair shop
Bastion da vin con corte et altre case divise,bastion of wine with court and other divided houses
"Casa, Volta e Bottega","house, vault and shop"
parte di magazino,part of the warehouse
In detta casa in soler vacua,in said house in empty floor
Bottega di cordarol,rope maker's shop
una casa,a house
casa con magazen serviva di posta di piove,house with warehouse served as a post for rain
Botega da Seler,saddle shop
Case in Soler,houses in soler
casa soler primo appartamento,soler house first apartment
"Porzione di Casa, e Bottega","portion of house, and shop"
Casa et bottega da botter,house and boatmaker's shop
Inviamento da callegher suo proprio,sending from his own cobbler
magazeni,warehouses
magazen serve per custodire li materiali della chiesa,the warehouse is used to store the church's materials
bottega caleger,shoe shop
Una camera e cusina a pepian nel corpo di dette case domenicali,a room and kitchen in pepean in the body of the said sunday houses
Bottegha da Lasagner,lasagner's shop
altra porzione di cucina,another portion of kitchen
"Casa in due soleri, primo soler vuoto","house on two floors, first floor empty"
Caseta con bottega,hut with shop
L'Anzolo terzo solaro diverse affitanze,the third angel solar leases various rentals
casa 7 e 8,house 7 and 8
altro appartamento della casa,another apartment of the house
Botteghetta di bagattelle,little shop of trinkets
casa compresa di bottega di sopressador,house including a sopressador shop
Casa Vuota,empty house
"Casa in soler con orto, e cortivo","house with sun, garden, and courtyard"
casa in soler,house in soler
Casa  apepian,apepian house
magazen per fusina,warehouse for fusina
casa appartamento terra,house apartment land
Casa in soler e Bottega di Pistor,house in soler and baker's shop
Botteghe due in una da botiro,two shops in one by a cofferer
Casa prorpia di sua abbitazione,own house of his residence
"Casa, Bottega e Volta","house, shop and vault"
case per proprio uso,houses for personal use
Casa in affittanze,house for rent
bottega serve per marangon,workshop used for carpenter
Casa e bottega da casseller,house and shop for cashiers
casa di propria abitazione,house of own dwelling
botteghetta da brocchetta,small shop for jugs
Casa per uso propria abitata,house for personal use inhabited
Bottega da brochetta,skewer shop
"Casa, bottega e inviamento da Pistor","house, shop and dispatch by pistor"
Bottega di baretter,hat shop
bottega con volta da caffè notata in campo di rialto novo,shop with coffee vault noted in the field of new rialto
Bottega di naranzer e posto di erbariol,orange shop and herbalist's place
casa grande appartamento di sotto,big house lower apartment
Posta di Modena,modena mail
Magazeni numero 3 serati,warehouse number 3 closed
"Bottega, Appartamento e Camerini","workshop, apartment and small rooms"
Bottega da Tagliapietra,stonecutter's workshop
Casa e BOttega da specier da confetti,house and shop of the spice seller of confetti
camere due e casotto per uso bastion,two rooms and a hut for bastion use
"Casa in soler in deu appartamenti, primo","house in soler in ten apartments, first"
Bottega di spicier da confetti,spice and confectionery shop
Casa soler di sopra,upper soler house
Magazino da Cana,cane warehouse
"Casa in due appartamenti, secondo","house in two apartments, according to"
casa ordinaria,ordinary house
Casa e Bottegha Sartor,house and tailor's shop
Casa a pepian e Bottega,house with pepian and shop
Bottegha da aqua vita vuota,empty water of life shop
Altra porzione di secondo appartamento,another portion of the second apartment
Case due proprie di sua abbitazione,two houses of his own residence
Bottega con casa in due solari,workshop with house in two plots
un loghetto e banca zanca,a small lodge and zanca bank
Scola dei Forneri,school of bakers
casa n. 10,house no. 10
Bottegha Formaggier,cheese shop
Apartamento della suddetta Casa,apartment of the aforementioned house
Casa e bottega da specier da confetture,house and shop of a jam spice seller
Bottega divisa in due da naranzer e da salumier,shop divided in two by an orange seller and a delicatessen
casa in 2 soleri,house in 2 plots
Altra portione di detta bottega,another portion of said shop
fabrica di colori,color factory
Bottegha da zavatter,cobbler's shop
Libertà numero 48 vuota,empty freedom number 48
"Casa, et bottega con inviamento da luganegher","house, and shop with sausage maker equipment"
Metà di CAsa sopra la Scala Grande,half of the house above the large staircase
casa e bottega confetture,house and jam shop
"Bottega sola, e altra","single workshop, and another"
Casa per uso con orticello,house for use with small vegetable garden
casa con due soleri e due magazeni,house with two solariums and two warehouses
Metà di Casa in soler,half of house in ground rent
Casette,small houses
Casa e Bottega da Scaletter,house and shop from scaletter
Bottega con corte con inviamento,workshop with courtyard with assignment
forno e inviamento,oven and sending
Altra camera affittata da Zuanne Fabris a Giulia Germania,another room rented by zuanne fabris to giulia germania
Case 2,case 2
casotto da becher da castrà,hut for castrating beakers
"Porzion di Bottega, e Casa","portion of shop, and house"
"casa, ottavo soler","house, eighth soler"
casa e bottega da fenestrer,house and window shop
casette,cottages
casa soler et una casetta a pepian,soler house is a small house in pepian
Bottegha da Fruttarol Inaffittata,unrented fruit shop
bottega callegher,cobbler's shop
Magazeneto,warehouse
"Casa, et Botegha da favro","house, and blacksmith's shop"
casa e bottega da sartor,house and tailor's shop
Casa in 3 affittanze vuota,house in 3 leases vacant
casa e squero vuoti,empty house and shipyard
casa n. 6,house no. 6
Posto da Bolzer,place by bolzer
Scancello da Sicurtà,security gate
casetta pepian,pepian cottage
Bottega da Casarol,casarol workshop
"Casa in tre soleri, soler di mezo","house in three soleri, middle soler"
Caseta pepian,pepian hut
"Casa, primo soler n.3","house, first floor no.3"
bottega da coridoro,corridor shop
casa in secondo soler,house on the second floor
"Casa a pepian, altra portion","house with vegetable garden, other portion"
Casa con bottegha da barbier,house with barber shop
"Forno, per Caratti 9 e 4 quinti","oven, for caratti 9 and 4 fifths"
Casa con forno,house with oven
Casa in soler in due soleri,house on ground in two grounds
Porzione di Magazeno,portion of warehouse
Casetta a pepian et in soler,small house on a pepian and in the attic
casa e bottega da perler,house and bead shop
casa e bottega da lasagner compresi due magazeni,house and shop from lasagner including two warehouses
squero e casa,shipyard and house
casa e bottega sartor,house and tailor shop
Casa et due botteghe una d'erbarol et altra de naranzer,"house and two shops, one of a herbalist and another of an orange seller"
"casa in soler, non volle mostrare l'affitto","house in soler, did not want to show the rent"
Camera numero 34,room number 34
"casa comune meza e due soleri, primo soler","common house half and two plots, first plot"
casa e bottega da intajador,house and carver's workshop
Casa in 6 affittanze vuota,house in 6 leases empty
diverse case date gratis dalla Scola di San Marco,various houses given free by the school of san marco
Casete numero 18 date per amor d'Iddio,houses number 18 given for the love of God
Bottega da Calzetta,calzetta's workshop
Botega da Vedello,shop of vedello
Casotto da frutarol vuoto,empty fruit stall shed
inviamento di malvasia e posto di store,shipment of malvasia and storage place
Casa in diverse fitanze,house in various leases
Bottega dal Lotto,lottery shop
Bottega da Marangon,carpenter's workshop
casa e bottega da botter,house and boatmaker's shop
"Casa, bottega","house, shop"
bottega d'orefice,goldsmith's shop
magazen di una casetta,warehouse of a small house
Casa in soleretto,house in small plot of land
Casa in soler inhabitata per esser derocata,house on the plot inhabited to be demolished
casa per carità,house for charity
"Casa, e bottega da sartor","house, and tailor's shop"
bottega da salumier,delicatessen shop
Casa con bottegha,house with shop
"Casa in soler, altro appartamento","house on the ground, another apartment"
casa con due botteghe da seler,house with two saddle shops
inviamento da fruttarol,sending from fruttarol
bottega da tornidor,turner's workshop
Bottega e Casa,workshop and house
Casa e Botegha da marzer,house and shop for a furrier
"Casa di residenza, soler di sopra","residential house, upstairs loft"
Scola sive Sinagoga,school or synagogue
secondo soler di casa,according to the owner of the house
palazzo parte di sotto,lower part of the palace
botega da pani con volta,bread shop with vault
case vuote,empty houses
"camera, gratis","room, free"
Bottega da tagliapietra,stonecutter's workshop
casa in tre soleri e due botteghe,house in three solariums and two shops
Casa Locanda di S. Piero col Galo,house inn of s. piero with the rooster
bottega sotto una volta,shop under an arch
mezzadi della sudetta,halves of the aforementioned
Casa nella calle d'Albanesi,house in albanesi street
terren sine orto,land without a garden
"Casa, bottega da frutarol","house, fruit seller's shop"
Libertà numero 8,freedom number 8
Appartamento soler di sotto,lower apartment soler
Casa in soler con orto per uso del confessor,house in soler with garden for the use of the confessor
casa e uso del terreno,house and land use
casa in soler con bottega da partioro,house in soler with goldsmith's shop
bottega da confetti,confetti shop
casetta,small house
Bottega da strazzarol,ragpicker's shop
casalotto vuoto,vacant cottage
Botegha da Barbier unita al secondo soler di Casa sopra detta Botegha,barber shop united to the second floor of the house above said shop
Botega da Galiner,chicken coop shop
case due e bottega,two houses and shop
"Volte numero 10, 11","turns number 10, 11"
Un squero,a shipyard
Inviamento d'Aqua di Vita,sending of water of life
"Casa in due soleri, secondo soler","house in two solar, second solar"
"casa, settimo soler. vuota","house, seventh soler. empty"
Casa ora vuita,house now empty
Numero 8 Volta Chiusa,number 8 closed turn
Casa e bottega di marzer,house and shop of marzer
casa in soler con forno,house on land with oven
"Casa in due soleri, nel secondo","house in two suns, in the second"
stabile che serve per la scola,building used for the school
